CustomerID,CustomerName,Gender,Age,City,Country,CustomerSegment
99,Eugene Mccarty,Female,39,East Ronaldland,Sweden,Consumer
100,Corey Lynch,Male,37,Tiffanychester,Sweden,Business
101,Megan Williams,Male,57,Lake Diana,Sweden,Consumer
102,Larry Fowler,Male,40,Lake Nicolestad,Norway,Consumer
103,Brianna Harris,Male,63,Lake Lauren,Finland,Consumer
104,Brian Larson,Female,68,Lake Davidmouth,Sweden,Consumer
105,Michelle Mendoza,Male,53,Tylermouth,Sweden,Consumer
106,Kevin Campbell,Male,35,Port Tinamouth,Norway,Consumer
107,Amy Jones,Female,51,East Victoria,Norway,Consumer
108,Christopher Nichols,Female,26,Cindyville,Finland,Business
109,Erik Cruz,Female,70,Johnnyfort,Sweden,Consumer
110,Robert Walker,Female,33,Lake Jesse,Norway,Business
111,Chad Velasquez,Male,28,South Rachel,Sweden,Business
112,Heather Merritt,Female,36,Freyside,Denmark,Consumer
113,Michelle Todd,Female,45,Wonghaven,Denmark,Business
114,Samuel Hernandez,Female,35,South Andrew,Denmark,Business
115,Richard Miller,Male,44,East Amy,Denmark,Business
116,Deanna Nelson,Male,57,Ashleyside,Sweden,Consumer
117,Joel Henry,Female,18,Miguelberg,Denmark,Consumer
118,Destiny Olson,Female,26,Lake Colleen,Sweden,Consumer
119,Harry Cooper,Female,31,Lake Zachary,Finland,Business
120,Joan Russell,Male,42,Matthewberg,Sweden,Business
